Rank,Name,Symbol,Address,Price,24h Change,24h Volume,Market Cap
1,USDC (USDC),USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,$0.9999 0.000330 ETH,,9091263602.0,63488995519.0
2,Wrapped BTC (WBTC),WBTC,0x0555e30da8f98308edb960aa94c0db47230d2b9c,"$122,373.00 40.385662 ETH",3.91,234146093.0,15767958940.0
3,Wrapped liquid staked Ether 2.0 (wstETH),wstETH,0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452,"$3,673.51 1.212336 ETH",2.72,17456618.0,12672357710.0
4,Wrapped eETH (weETH.base),weETH.base,0x04c0599ae5a44757c0af6f9ec3b93da8976c150a,"$3,250.53 1.072743 ETH",2.46,4013222.0,8235197333.0
5,Wrapped Ether (WETH),WETH,0x4200000000000000000000000000000000000006,"$3,030.82 1.000234 ETH",2.31,337599013.0,7519546858.0
6,USDS Stablecoin (USDS),USDS,0x820c137fa70c8691f0e44dc420a5e53c168921dc,$0.9999 0.000330 ETH,0.02,6233371.0,7185109730.0
7,Coinbase Wrapped BTC (cbBTC),cbBTC,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,"$122,507.00 40.429885 ETH",3.8,408660456.0,6253040373.0
8,Dai Stablecoin (DAI),DAI,0x50c5725949a6f0c72e6c4a641f24049a917db0cb,$0.9997 0.000330 ETH,-0.01,57672214157.0,5363887617.0
9,USDe (USDe),USDe,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,$0.999 0.000330 ETH,-0.15,123370766.0,5319349327.0
10,Aave Token (AAVE),AAVE,0x63706e401c06ac8513145b7687a14804d17f814b,$322.87 0.106554 ETH,6.24,853162466.0,4905840456.0
11,Staked USDe (sUSDe),sUSDe,0x211cc4dd073734da055fbf44a2b4667d5e5fe5d2,$1.18 0.000389 ETH,0.04,26059727.0,3110762764.0
12,ENA (ENA),ENA,0x58538e6a46e07434d7e7375bc268d3cb839c0133,$0.3497 0.000115 ETH,5.24,614925872.0,2231050206.0
13,Savings USDS (sUSDS),sUSDS,0x5875eee11cf8398102fdad704c9e96607675467a,$1.059 0.000349 ETH,0.02,8003067.0,2213333090.0
14,Spark USDC Vault (sUSDC),sUSDC,0x3128a0f7f0ea68e7b7c9b00afa7e41045828e858,$1.059 0.000349 ETH,0.02,8003067.0,2213333090.0
15,OFFICIAL TRUMP (TRUMP),TRUMP,0xc27468b12ffa6d714b1b5fbc87ef403f38b82ad4,$9.77 0.003224 ETH,0.64,625304669.0,1958817918.0
16,Wrapped TRUMP (WTRUMP),WTRUMP,0xc05ec5235ce6050375adce1f86bbec949c3c366f,$9.77 0.003224 ETH,0.64,625304669.0,1958817918.0
17,Wrapped PENGU (WPENGU),WPENGU,0xbcb8209c3c482a46dd9a5e7bc06e8cfb04670477,$0.029 0.000010 ETH,26.16,2229741884.0,1832156911.0
18,Lombard Staked BTC (LBTC),LBTC,0xecac9c5f704e954931349da37f60e39f515c11c1,"$123,617.00 40.796208 ETH",4.88,13359892.0,1801841247.0
19,Rocket Pool ETH (rETH),rETH,0xb6fe221fe9eef5aba221c348ba20a1bf5e73624c,"$3,446.7196 1.137490 ETH",2.33,390445.0,1445206471.0
20,Virtual Protocol (VIRTUAL),VIRTUAL,0x0b3e328455c4059eeb9e3f84b5543f74e24e7e1b,$1.77 0.000584 ETH,3.44,304579727.0,1162503295.0
21,Solv BTC (SolvBTC),SolvBTC,0x3b86ad95859b6ab773f55f8d94b4b9d443ee931f,"$122,158.00 40.314707 ETH",3.7,1773424.0,1124441010.0
22,Renzo Restaked ETH (ezETH),ezETH,0x2416092f143378750bb29b79ed961ab195cceea5,"$3,191.29 1.053193 ETH",2.28,1980927.0,1020297959.0
23,Curve DAO Token (CRV),CRV,0x8ee73c484a26e0a5df2ee2a4960b789967dd0415,$0.6831 0.000225 ETH,7.15,238844029.0,941393700.0
